total: 100 - ThresholdResult(n=100, bucketSize=10, threshold=0.79, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=100, bucketSize=20, threshold=0.92, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=100, bucketSize=4, threshold=0.45, missingPercentage=0.00, bellowThresholdAvgCount=6.00, stdBellowThreshold=0.22)
total: 100 - ThresholdResult(n=100, bucketSize=50, threshold=0.99, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=100, bucketSize=5, threshold=0.55, missingPercentage=0.00, bellowThresholdAvgCount=1.00, stdBellowThreshold=0.31)
total: 100 - ThresholdResult(n=150, bucketSize=10, threshold=0.76, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.18)
total: 100 - ThresholdResult(n=150, bucketSize=15, threshold=0.86, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=150, bucketSize=50, threshold=0.98, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=150, bucketSize=5, threshold=0.51, missingPercentage=0.00, bellowThresholdAvgCount=2.00, stdBellowThreshold=0.17)
total: 100 - ThresholdResult(n=200, bucketSize=10, threshold=0.74, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=200, bucketSize=20, threshold=0.89, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=200, bucketSize=4, threshold=0.38, missingPercentage=0.00, bellowThresholdAvgCount=9.00, stdBellowThreshold=0.16)
total: 100 - ThresholdResult(n=200, bucketSize=50, threshold=0.97, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 100 - ThresholdResult(n=200, bucketSize=8, threshold=0.67, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.17)
total: 100 - ThresholdResult(n=300, bucketSize=4, threshold=0.34, missingPercentage=0.00, bellowThresholdAvgCount=12.00, stdBellowThreshold=0.12)
total: 10000 - ThresholdResult(n=100, bucketSize=10, threshold=0.79, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.20)
total: 10000 - ThresholdResult(n=100, bucketSize=20, threshold=0.92, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.19)
total: 10000 - ThresholdResult(n=100, bucketSize=4, threshold=0.45, missingPercentage=0.00, bellowThresholdAvgCount=7.00, stdBellowThreshold=0.22)
total: 10000 - ThresholdResult(n=100, bucketSize=50, threshold=0.99, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 10000 - ThresholdResult(n=100, bucketSize=5, threshold=0.55, missingPercentage=0.00, bellowThresholdAvgCount=2.00, stdBellowThreshold=0.23)
total: 10000 - ThresholdResult(n=150, bucketSize=10, threshold=0.76, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.19)
total: 10000 - ThresholdResult(n=150, bucketSize=15, threshold=0.86, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.15)
total: 10000 - ThresholdResult(n=150, bucketSize=50, threshold=0.98, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 10000 - ThresholdResult(n=150, bucketSize=5, threshold=0.51, missingPercentage=0.00, bellowThresholdAvgCount=3.00, stdBellowThreshold=0.18)
total: 10000 - ThresholdResult(n=200, bucketSize=10, threshold=0.74, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.16)
total: 10000 - ThresholdResult(n=200, bucketSize=20, threshold=0.89, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.13)
total: 10000 - ThresholdResult(n=200, bucketSize=4, threshold=0.38, missingPercentage=0.00, bellowThresholdAvgCount=9.00, stdBellowThreshold=0.18)
total: 10000 - ThresholdResult(n=200, bucketSize=50, threshold=0.97, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0)
total: 10000 - ThresholdResult(n=200, bucketSize=8, threshold=0.67, missingPercentage=0.00, bellowThresholdAvgCount=0.00, stdBellowThreshold=0.18)
total: 10000 - ThresholdResult(n=300, bucketSize=4, threshold=0.34, missingPercentage=0.00, bellowThresholdAvgCount=12.00, stdBellowThreshold=0.14)
